Rin	Ta	Rli	p	ea	u	tts	 
  0.00000  15.04419 264.89451 1012.00000  12.82209   1.57687  85.00000  
  0.00000  15.11586 264.96765 1012.00000  12.96419   1.96783  85.00000  
  0.00000  15.13033 264.49101 1012.00000  12.99113   1.86207  85.00000  
  0.00000  15.00839 264.55694 1012.00000  12.97317   2.01042  85.00000  
  0.00000  14.81552 264.10157 1011.13790  12.91644   2.35200  85.00000  
  0.00000  14.45167 263.25019 1011.00000  12.86086   2.49280  85.00000  
  0.00000  14.28548 263.65778 1011.00000  12.85964   2.62010  85.00000  
  0.00000  14.06517 264.16436 1011.00000  12.82134   2.42955  85.00000  
  0.00000  14.07067 265.30133 1011.00000  12.73490   2.45703  85.00000  
  9.55288  13.88936 265.62011 1010.70970  12.53325   2.82561  85.00000  
 30.48764  14.32138 264.99321 1010.00000  12.20301   2.99845  85.00000  
 56.92537  14.88033 266.13892 1010.00000  11.96252   2.66187  81.35414  
128.18312  15.74677 267.68139 1010.00000  11.96544   2.78129  77.17792  
115.08627  16.61276 274.45222 1010.00000  12.22502   2.43028  72.84140  
152.01799  16.80200 279.14649 1010.00000  12.51155   2.39317  68.37831  
182.50362  17.49807 284.39828 1010.00000  13.16923   2.49077  63.82953  
262.08652  18.05414 288.73995 1010.00000  13.87342   2.33162  59.24568  
239.99535  18.82167 294.95207 1010.00000  14.43440   2.17920  54.66644  
264.39226  19.28677 296.98575 1010.00000  14.95058   2.03535  50.14670  
388.25412  20.36241 298.71823 1010.00000  15.27194   2.27521  45.76084  
479.21927  21.57967 295.41069 1009.93330  15.25588   1.96127  41.58647  
714.89166  22.66774 305.39614 1009.00000  15.08447   2.43926  37.73482  
399.58463  22.94276 311.40577 1009.00000  14.59883   2.61841  34.35602  
565.37387  23.81600 310.14988 1009.00000  14.72597   2.40857  31.62356  
765.41334  24.10097 306.10969 1009.00000  14.07031   3.59216  29.73994  
892.39927  25.09310 305.94764 1008.82760  13.59590   3.37879  28.88827  
875.99782  25.49533 306.87000 1008.00000  13.79148   3.59693  29.16269  
874.48270  25.94161 310.05224 1008.00000  13.87675   3.05387  30.53285  
661.29402  25.91552 311.18702 1007.96550  14.19042   3.53772  32.85038  
746.62759  26.63533 314.68032 1007.03330  14.68457   3.29467  35.92053  
624.49191  26.86226 314.23172 1007.00000  14.64885   2.84732  39.55031  
641.66683  26.94931 311.74018 1007.00000  13.56261   4.17162  43.57049  
684.59850  27.26100 309.48071 1006.93330  13.61829   3.81683  47.86031  
578.86207  27.78936 309.90688 1006.00000  14.03619   3.11229  52.32279  
476.35932  27.51828 310.24428 1006.00000  14.09659   3.51055  56.87497  
343.30014  27.46533 309.51772 1006.00000  14.00403   2.65693  61.46396  
285.82752  27.56548 309.81238 1005.09680  14.00389   2.51368  66.03905  
163.99769  27.00793 309.23426 1005.00000  13.82307   2.35897  70.54779  
181.21466  27.21600 313.15570 1005.00000  14.31488   0.90553  74.95594  
 70.48434  26.44452 303.65826 1005.00000  15.35046   2.00968  79.22254  
 24.79411  23.20310 295.85712 1005.00000  17.09782   2.72724  83.29944  
 12.24743  22.23400 295.51274 1005.40000  17.51432   2.46687  85.00000  
  0.00000  21.37419 295.05557 1006.00000  17.74046   1.67094  85.00000  
  0.00000  20.59379 304.85149 1006.00000  17.27983   1.82459  85.00000  
  0.00000  20.31667 299.69175 1006.00000  17.17915   1.71057  85.00000  
  0.00000  20.01226 298.41364 1006.00000  16.79575   1.81487  85.00000  
  0.00000  20.49172 298.36501 1006.00000  16.37451   1.63772  85.00000  
  0.00000  20.49133 300.24979 1005.20000  16.01496   1.57220  85.00000  
  0.00000  20.38065 305.08207 1005.00000  15.62309   1.75352  85.00000  
